                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.40433,                0.57494,                0.82329,                 0.9672,                0.98047,                 0.9936,                 0.9877,                0.14796,                0.24226,                0.76227,                0.00769,                0.00769,                0.00769
                     37,                0.40171,                0.56875,                0.82186,                0.95884,                0.98288,                0.99468,                0.99019,                0.14603,                 0.2468,                0.76069,               0.007624,               0.007624,               0.007624
                     38,                0.40029,                 0.5488,                 0.8204,                0.95154,                0.98593,                0.99353,                0.99153,                0.13669,                0.23713,                0.75995,               0.007558,               0.007558,               0.007558
                     39,                    0.4,                0.55175,                0.82188,                0.96362,                0.98616,                0.99338,                0.99161,                0.13792,                0.22235,                0.75948,               0.007492,               0.007492,               0.007492
                     40,                0.39668,                0.54582,                0.81602,                0.96864,                0.97234,                0.99348,                0.99116,                0.13585,                0.22586,                0.75987,               0.007426,               0.007426,               0.007426
                     41,                 0.3923,                0.54595,                0.81886,                0.96397,                0.97881,                0.99342,                0.98939,                0.13736,                0.22969,                0.76098,                0.00736,                0.00736,                0.00736
                     42,                0.39042,                0.53929,                0.81959,                0.96476,                0.98385,                0.99447,                0.98979,                0.14245,                0.22463,                 0.7613,               0.007294,               0.007294,               0.007294
                     43,                0.38697,                0.52733,                0.81823,                0.96607,                0.98332,                  0.995,                0.99338,                0.12867,                0.21728,                0.75924,               0.007228,               0.007228,               0.007228
                     44,                 0.3841,                0.52949,                0.81468,                0.96009,                0.98921,                0.99447,                0.99319,                0.12614,                0.21197,                0.75733,               0.007162,               0.007162,               0.007162
                     45,                0.38053,                0.53137,                0.81437,                0.95242,                0.98502,                  0.995,                0.99278,                0.12188,                0.20319,                  0.758,               0.007096,               0.007096,               0.007096
                     46,                0.38008,                0.52084,                0.81541,                 0.9718,                0.98991,                0.99447,                0.99263,                0.12053,                0.20688,                0.75849,                0.00703,                0.00703,                0.00703
                     47,                 0.3781,                0.51935,                0.81503,                0.96861,                0.97973,                0.99447,                0.99156,                0.12132,                0.20326,                0.75783,               0.006964,               0.006964,               0.006964
                     48,                0.37955,                0.52763,                0.81662,                0.97225,                0.98804,                  0.995,                0.99399,                0.11678,                0.19711,                0.75796,               0.006898,               0.006898,               0.006898
                     49,                0.37188,                0.50833,                0.81412,                0.97112,                0.98987,                  0.995,                0.99376,                0.12384,                0.19627,                 0.7583,               0.006832,               0.006832,               0.006832
                     50,                 0.3767,                0.51385,                 0.8165,                0.97391,                0.98919,                  0.995,                0.99222,                0.11875,                0.20001,                0.75824,               0.006766,               0.006766,               0.006766
                     51,                0.36526,                0.50402,                0.81179,                0.97385,                0.98739,                  0.995,                0.99312,                0.11771,                0.19647,                0.75803,                 0.0067,                 0.0067,                 0.0067
                     52,                0.36186,                0.50528,                0.81337,                0.97125,                0.98358,                  0.995,                0.99481,                0.11003,                0.18838,                0.75722,               0.006634,               0.006634,               0.006634
                     53,                 0.3656,                0.51084,                0.81528,                0.97489,                0.98083,                0.99447,                0.99243,                0.11044,                0.19065,                0.75691,               0.006568,               0.006568,               0.006568
                     54,                0.37111,                0.49895,                0.81028,                0.97838,                0.98405,                  0.995,                0.99391,                0.11015,                0.18702,                0.75681,               0.006502,               0.006502,               0.006502
                     55,                0.36775,                0.49769,                0.81195,                 0.9747,                0.98394,                  0.995,                0.99307,                0.11084,                0.18816,                0.75655,               0.006436,               0.006436,               0.006436
                     56,                0.35533,                0.48919,                0.81126,                0.97419,                0.99056,                  0.995,                0.99406,                0.10888,                0.17739,                 0.7571,                0.00637,                0.00637,                0.00637
                     57,                0.35599,                 0.4891,                0.81006,                 0.9757,                0.98154,                  0.995,                  0.994,                0.10996,                0.18177,                 0.7565,               0.006304,               0.006304,               0.006304
                     58,                0.35911,                0.48472,                0.81024,                0.97719,                0.98905,                  0.995,                0.99423,                0.10771,                0.17653,                0.75682,               0.006238,               0.006238,               0.006238
                     59,                 0.3566,                 0.4721,                0.81331,                0.97513,                0.98688,                  0.995,                0.99443,                0.10343,                0.17295,                0.75585,               0.006172,               0.006172,               0.006172
                     60,                0.35678,                0.47727,                0.80995,                0.97722,                0.98632,                  0.995,                0.99334,                0.10255,                0.17273,                0.75576,               0.006106,               0.006106,               0.006106
